City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Westport,US,41.1415,-73.3579,66.88,59,61,1.01,broken clouds
1,Codrington,AU,-38.2667,141.9667,45.09,95,98,7.29,overcast clouds
2,Koprivstica,RS,43.2349,22.6205,55.62,100,1,4.92,clear sky
3,Antalaha,MG,-14.9003,50.2788,65.7,82,0,7.87,clear sky
4,Rincon,US,32.296,-81.2354,65.86,59,100,18.41,overcast clouds
5,Khakhea,BW,-24.6895,23.494,70.09,28,5,11.34,clear sky
6,Vardo,NO,70.3705,31.1107,44.58,87,0,6.91,clear sky
7,Miraflores,MX,19.2167,-98.8083,68.04,56,81,4.0,broken clouds
8,Trincomalee,LK,8.5711,81.2335,80.82,76,96,21.85,overcast clouds
9,Cape Town,ZA,-33.9258,18.4232,62.1,84,0,8.05,clear sky
10,Arya,PK,33.6,73.0667,77.23,77,0,1.01,clear sky
11,Port Alfred,ZA,-33.5906,26.891,61.18,95,100,1.99,overcast clouds
12,Bonthe,SL,7.5264,-12.505,74.52,93,100,5.03,overcast clouds
13,Banda Aceh,ID,5.5577,95.3222,76.8,91,100,15.9,moderate rain
14,Ushuaia,AR,-54.8,-68.3,48.74,62,100,7.23,overcast clouds
15,Appleton,US,44.2619,-88.4154,62.69,56,94,7.0,overcast clouds
16,Luderitz,NA,-26.6481,15.1594,57.72,84,0,16.46,clear sky
17,Busselton,AU,-33.65,115.3333,56.03,67,0,13.2,clear sky
18,Axim,GH,4.8699,-2.2405,75.43,89,29,5.93,scattered clouds
19,Sakakah,SA,29.9697,40.2064,80.64,26,0,7.23,clear sky
20,Kuusamo,FI,65.9667,29.1833,37.44,75,75,8.05,broken clouds
21,Hope Mills,US,34.9704,-78.9453,66.6,63,75,10.36,broken clouds
22,Jamestown,US,42.097,-79.2353,61.02,45,0,4.0,clear sky
23,Saint-Joseph,RE,-21.3667,55.6167,72.46,83,23,11.7,few clouds
24,Hella,NO,67.2,14.4333,50.56,68,0,13.8,clear sky
25,Abha,SA,18.2164,42.5053,66.47,26,4,3.94,clear sky
26,Mar Del Plata,AR,-38.0023,-57.5575,54.95,70,100,5.01,overcast clouds
27,Wawina,HN,15.4167,-84.4333,85.14,67,90,9.95,overcast clouds
28,Chuy,UY,-33.6971,-53.4616,58.17,64,98,9.28,overcast clouds
29,Bilma,NE,18.6853,12.9164,94.28,18,95,8.95,overcast clouds
30,Bredasdorp,ZA,-34.5322,20.0403,55.81,95,100,5.28,overcast clouds
31,Coquimbo,CL,-29.9533,-71.3436,59.36,77,5,8.81,clear sky
32,Am Timan,TD,11.0297,20.2827,74.5,84,57,4.59,broken clouds
33,Saldanha,ZA,-33.0117,17.9442,60.26,87,100,17.02,overcast clouds
34,Viedma,AR,-40.8135,-62.9967,74.5,24,0,18.28,clear sky
35,Nanortalik,GL,60.1432,-45.2371,41.0,95,91,13.06,overcast clouds
36,Qaanaaq,GL,77.484,-69.3632,14.5,82,65,6.44,broken clouds
37,Bereda,ES,43.2686,-7.5406,53.58,100,27,2.64,scattered clouds
38,Sao Filipe,CV,14.8961,-24.4956,80.11,84,8,11.18,clear sky
39,Alvorada,BR,-12.48,-49.1247,101.12,14,73,5.97,broken clouds
40,Klaksvik,FO,62.2266,-6.589,47.32,83,100,24.83,overcast clouds
41,Kavaratti,IN,10.5669,72.642,80.89,74,100,11.88,overcast clouds
42,Upernavik,GL,72.7868,-56.1549,20.46,86,16,8.68,few clouds
43,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.08,90,100,15.41,overcast clouds
44,Raudeberg,NO,61.9875,5.1352,51.87,49,28,10.94,scattered clouds
45,Lebu,CL,-37.6167,-73.65,53.96,78,100,13.42,overcast clouds
46,Iqaluit,CA,63.7506,-68.5145,31.73,93,100,17.27,light snow
47,Geraldton,AU,-28.7667,114.6,57.61,72,7,6.91,clear sky
48,Ajdabiya,LY,30.7554,20.2263,84.56,42,9,7.7,clear sky
49,Humberto De Campos,BR,-2.5983,-43.4611,83.53,61,43,9.6,scattered clouds
50,Dhidhdhoo,MV,6.8833,73.1,80.67,77,100,10.11,overcast clouds
51,Bambous Virieux,MU,-20.3428,57.7575,67.21,72,17,13.06,few clouds
52,Kasongo-Lunda,CD,-6.4667,16.8167,71.56,86,11,0.38,few clouds
53,Mahebourg,MU,-20.4081,57.7,67.24,72,11,12.68,few clouds
